"Table 5.8: Estimate for rehabilitation of   Nawa Gurukele Wewa in Nawa Gurukele GND (1139)","",""
"Item","Work Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and hauling the surplus materials up to 1.6 km distance by machinery. (This rate is excluding of transporting of machinery)","192,240.00"
"2","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","308,000.00"
"3","Transporting of earth moving machinery","20,000.00"
"4","Miscellaneous","4,760.00"
,"CIVIL COST","525,000.00"
"5","Contingencies 10%","52,500.00"
,"TOTAL COST","577,500.00"
