"Table 5.13: Estimate for rehabilitation of  Siyambalagaha Mula Wewa in Godawela GND (1156)","",""
"Item","Work Description","Amount  LKR"
"1","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","770,000.00"
,"CIVIL COST","770,000.00"
"2","Contingencies 10%","77,000.00"
,"TOTAL COST","847,000.00"
