"Table 5.12: Estimate for rehabilitation of “Labukolaanga Pathaha” in 660 Pilawala North GND","",""
"Item","Work Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","33,642.00"
"2","Transporting of earth moving machines","20,000.00"
"3","Miscellaneous","1,358.00"
,"CIVIL COST","55,000.00"
"4","Contingencies 10%","5,500.00"
,"TOTAL COST","60,500.00"
