"Table 5.14: Estimate for rehabilitation of “Ruckattana Amuna” in 689 Mahawaththa North GND","",""
"Item","Work Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","38,448.00"
"2","Rehabilitation of tank bund","50,000.00"
"3","Supply & install of 225 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)","95,880.00"
"4","Repairs to the sluice","5,000.00"
"5","Transporting of earth moving machines","20,000.00"
"6","Miscellaneous","672.00"
,"CIVIL COST","210,000.00"
"7","Contingencies 10%","21,000.00"
,"TOTAL COST","231,000.00"
