"Table 5.18: Summary of cost of rehabilitation of tanks located in MWS-102","",""
"Item","Work Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","240,300.00"
"2","Construction of D/S basin for the spill (10m x 5m & 2m hight wall)","400,000.00"
"3","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","88,000.00"
"4","Transporting of earth moving machines","20,000.00"
"5","Miscellaneous","1,700.00"
,"CIVIL COST","750,000.00"
"6","Contingencies 10%","75,000.00"
,"TOTAL COST","825,000.00"
