"Table 5.20: Cost estimate of Water source protection-related proposals",""
"Tank name","Cost"
"Welakumbura Pathaha","605,000.00"
"Sirimalwaththa Okuruwaththa patha","236,500.00"
"Pin anga Pathaha","60,500.00"
"Higurugollewa Pathaha","401,500.00"
"Kalalgama Pathaha","313,500.00"
"Labukolaanga Pathaha","231,000.00"
"Galgodahinna Pathaha","1,072,500.00"
"Ruckatthana Amuna","476,300.00"
"Kalugala Amuna","434,500.00"
"Mahawaththa Pathaha","60,500.00"
"Janasavigama Loku Wewa","825,000.00"
"Janasavigama Kuda Wewa","566,500.00"
"Total","5,283,300.00"
