"Table 5.22: Cost estimate of minor irrigation related proposals with locations","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  Rs"
"692","The well of Mr. Maheshwaran land, No 101, Janaudanagama","7.278659","80.704277","There is a 1.3m dia and 3.5m hight well. Water is taken for  bathing","Cleaning the wellPlaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating1:3:6 (40mm) concrete manual mix (volume batching)-For concreting ground arround the wellMiscellaneousContigencies (10%)","89,210.00"
"664","Extra land of near the Nice place","7.312366","80.649891","There is Mahaweli river bank.it become to the exessive soil erosion","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplanting bamboo species and vetiver grass or riparian speciesMiscellaneous","20,400.00"
,,,,,,
,,,,,,
,,,,,,
"665","Bank of the Mahaweli River","7.320298","80.646850","There is exessive soil erosion","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplanting bamboo species and vetiver grass or riparian species","48,950.00"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"684","Victoriya reservaton","7.280885","80.668349","There is exessive soil erosion","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplanting bamboo species and vetiver grass or riparian species","28,600.00"
,,,,,,
"689","Rukatthana amuna","7.285184","80.685603","houses are built near the lake embankment.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplanting bamboo species and vetiver grass or riparian species","40,700.00"
,,,,,,
,,,,,,
,,,,"Total",,"1,231,280.00"
