"Table 5.19: Implementation schedule of tanks in MWS-102","",""
"Item","Work Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","384,480.00"
"2","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","110,000.00"
"3","Transporting of earth moving machines","20,000.00"
"4","Miscellaneous","520.00"
,"CIVIL COST","515,000.00"
"5","Contingencies 10%","51,500.00"
,"TOTAL COST","566,500.00"
