"Table 6.6: Estimate for rehabilitation Welituduwa wewa in Helagama GNDMWS-039","",""
"Item","Work Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery. (This rate excluding of transporting of machinery)","603,420.00"
"2","Vegetative cover improving around structures for an area with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval(Transport: 10km Farm Tractor + 500m Head carry)","200,000.00"
"3","Replanting bamboo species and vetiver grass or riparian species in an area (Transport: 10km Farm Tractor + 500m Headcarry)","100,000.00"
"4","Miscellaneous","1,580.00"
"5","CIVIL COST","905,000.00"
,"Contingencies 10%","90,500.00"
,"TOTAL COST","995,500.00"
