ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,geojson,Year
1,MWS-007-1,Proposal,Soil and Water Conservation,Key activities proposed for soil and water conservation in MWS-007-1,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_007_1/Table_6_1.geojson,
2,MWS-007-1,Proposal,Soil and Water Conservation,Details of Reported landslides in MWS-007-1,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_007_1/Table_6_2.geojson,
6,MWS-007-1,Proposal,Water resource management,Estimate of domestic water supply-related activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_007_1/Table_6_6.geojson,
7,MWS-007-1,Proposal,Water resource management,Estimate of water source protection-related activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_007_1/Table_6_7.geojson,
8,MWS-007-1,Proposal,Water resource management,Cost estimate of minor irrigation-related proposals with locations,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_007_1/Table_6_8.geojson,
9,MWS-007-1,Proposal,Water quality improvement,Key activities proposed for water quality improvement in MWS-007-1,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_007_1/Table_6_9.geojson,
12,MWS-007-1,Proposal,Water resource management,Total Cost Estimate for Stream Reservation Proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_007_1/Table_6_12.geojson,
