"Table 2.7: Occupational details of the community of MWS-128 (GN-wise)","","","","","","","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8","NA  9","NA  10","NA  11","NA  12","NA  13"
,,"Executive/ Manager","Clerk","Industrial","Security Services","Foreign employment","Masonry","Carpenter","Animal Husbandry","Business","Apparel","Labour","Agriculture","Plantations","Others","Unemployment"
"1136","Nawa Nillamba","0","3","2","12","63","9","4","76","15","8","398","36","113","0","200"
"1132","Mulgama","2","6","3","15","17","14","10","10","18","0","154","59","10","0","197"
"1135","Palledelthota","0","6","17","44","47","52","38","12","23","92","628","576","472","83","366"
"1140","Thumpelawaka","0","8","7","22","6","0","7","7","32","100","240","201","6","30","488"
"1133","Pitawala","0","0","0","7","31","32","7","21","13","42","610","32","22","0","123"
,"Total","2","23","29","100","164","107","66","126","101","242","2030","904","623","113","1374"
