"Table 5.29: Three-year plan MWS-128","","","","","","",""
"X","GN Division","Extent  ha","NA","NA  1","NA  2","NA  3","NA  4"
,,"2026","2027","2028",,,
,,"RP","DP","RP","DP","RP","DP"
"1136","Nawa Nillamba","0.5","0","0.5","0","0.5","0"
"1132","Mulgama","0.5","0","0.5","0","0.5","0"
"1135","Palledelthota","0.5","0","0.5","0","0.5","0"
"1140","Thumpelawaka","0.5","0","0.5","0","0.5","0"
"1133","Pitawala","0.25","0","0.25","0","0.25","0"
,"Total","2.25","0","2.25","0","2.25","0"
