"Table 5.28: Crop suitability","",""
"GND Division","Problems","Expectations"
"Millagahamula","Animal damage, lack of training for polytunnel, market problems for products, machine shortage for value-added products, lack of raw materials for value-added products, Difficulty in obtaining high-quality seeds, Shortage of fertilizers and chemicals, Necessary Equipment, Plants, Soil Conservation Systems, Safety fences","Training programs for polytunnel use, improved market access, funding for machines, access to raw materials for value-added products, and animal control measures. It is Recommended to provide Modern knowledge, Training, Necessary equipment, plants and others for proper Output."
"Pabadeniya","Obtaining high-quality seeds and plant for Vegetables and export crops, 
Animal damage, post-harvest loss in fruits cultivation, lack of necessary equipment","Access to high-quality seeds and plant. Provide modern knowledge, training and Necessary equipment.  Also, Soil should be conserved by using lock and spill drains, live hedges and leader drains."
"Rajathalawa","Obtaining high-quality seeds for fruits and export crops, Animal damage, lack of training for polytunnel, market problems for products, machine shortage for value-added products, lack of raw materials for value-added products, Shortage of fertilizers and chemicals, lack of storage facilities","Access to high-quality seeds, Training programs for polytunnel use, improved market access, funding for machines, access to raw materials for value-added products, and animal control measures. Provide modern knowledge, training and Necessary equipment.  Also, Soil should be conserved by using lock and spill drains, live hedges and leader drains."
"Pupuressa","Animal damage, lack of training for polytunnel, market problems for products, machine shortage for value-added products, lack of raw materials for value-added products, Difficulty in obtaining high-quality seeds, Shortage of fertilizers and chemicals, Necessary Equipment, Plants, Soil Conservation Systems, Safety fences","provide Modern knowledge, Training, Necessary equipment, plants and others for proper Output."
