"Table 5.3: Key OFF-FARM activties proposed for soil and water conservation in MWS-124-2 belongs to Doluwa DS Division","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  Rs","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,
"1","1173","Millagahamula","No special issues are reported",,,,,,,,
"2","1148","Pambadeniya","No special issues are reported",,,,,,,,
"3","1182","Rajathalawa","1. Construction of a Retaining Wall - Main Road, Rajathalawa","4","7.138901","80.65297","20 m long and 3.0 m  hight","Retaining Wall (Concrete)","2,332,000.00","By the project","0.25 Years"
"4","1181","Pupuressa",,,,,,,,,
,,,,,,,,"Grand Total","2,332,000.00",,
