"Table 2.4: Monthly average temperature details of the MWS-124-2","",""
"Month","Temperature","NA"
,"Maximum","Minimum"
"January","26.6","16.0"
"February","27.9","16.1"
"March","28.8","16.8"
"April","28.4","18.3"
"May","27.5","19.3"
"June","26.0","19.5"
"July","25.4","19.3"
"August","26.0","18.8"
"September","26.3","18.5"
"October","26.7","18.2"
"November","26.5","17.8"
"December","26.0","17.3"
