"Table 5.4: Details of Reported landslides in MWS-124-2","","","","","","",""
"No","GN Division No","GN Division","Land Slides","Coordinates","NBRO Recommendation","Proposed Measures","NA"
,,,,"N or X","E or Y",,
"1","1173","Millagahamula","High-risk Landslides - Kithulwattha","7.15224","80.618799","NBRO is aware","Informing relevant institutions to expedite hosing construction."
,,"Millagahamula","Landslides - Kithulwattha","7.153784","80.618989","NBRO is aware","Acting in accordance with NBRO instructions."
"2","1148","Pambadeniya","No special issues reported",,,,
"3","1182","Rajathalawa","Earthen dam collapse on road - Main Road","7.138901","80.652970","Needs NBRO concern","Construction of a concrete retaining wall. ( L= 20 m, H = 3 m)"
,,"Rajathalawa","Risk of rockfall - Galekanda Reserve","7.13734","80.654776","Needs NBRO concern","It is advisable to obtain specialist services for this matter."
"4","1181","Pupuressa","Landslides- Starlandburg Upper Division","7.108116","80.694288","NBRO is aware","Acting in accordance with NBRO instructions."
,,"Pupuressa","Landslides - Natsa No. 09","7.130887","80.671208","NBRO is aware","Acting in accordance with NBRO instructions."
