"Table 5.26: Total estimated cost of production for the three-year period","","","","","","",""
"X","GN Division","Extent  ha","NA","NA  1","NA  2","NA  3","NA  4"
,,"2026","2027","2028",,,
,,"RP","DP","RP","DP","RP","DP"
"1173","Millagahamula","0.5","0","0.5","0","0.5","0"
"1148","Pabadeniya","0.5","0","0.5","0","0.5","0"
"1182","Rajathalawa","0.5","0","0.5","0","0.5","0"
"1181","Pupuressa","0.5","0","0.5","0","0.5","0"
,"Total","2","0","2","0","2","0"
