"Table 5.8: Key activities proposed for water quality improvement in MWS-124-2","","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates","No  of Toilets","Point sources of pollution","Coordinates 1","Recommended water quality improvement measures","Unit Cost  Rs","Total Cost  Rs","Contributions  Local Community  LA  Project","Time frame for the implementation","NA","NA  1"
,,,,"N or X","E or Y",,,"N or X","E or Y",,,,,
"1","1173","Millagahamula","Improper disposal of domestic waste",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"2","1148","Pambadeniya","Potential to add human waste",,,"4",,,,,,,,
"3","1182","Rajathalawa","Potential to add human waste - Rajathalawa",,,"3",,,,,,,,
,,,"Potential to add human waste - Bomant Estate",,,"6",,,,,,,,
,,,"Improper disposal of domestic waste",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"4","1181","Pupuressa","Potential to add human waste - Starlandburg Estate",,,"25",,,,,,,,
,,,"Potential to add human waste - Pupuressa Tamil School",,,"2",,,,,,,,
,,,"Potential to add human waste - Pupuressa Upper Division",,,"15",,,,,,,,
,,,"Improper disposal of domestic waste",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
,"Total",,,,,,,,,,,"150,000",,
