"Table 5.25: Three-year plan MWS-124-2","",""
"Activity","Replanting  LKR","Direct Planting  LKR"
"Land preparation","180,000","180,000"
"Soil rehabilitation + soil conservation 1","50,000","Nil"
"Soil rehabilitation + soil conservation 2","200,000","Nil"
"Tea planting","140,000","260,000"
"Maintenance (first year)","60,000","60,000"
"Total","630,000","500,000"
