"Table 2.7: Occupational details of the community of MWS-124-2 (GN-wise)","","","","","","","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8","NA  9","NA  10","NA  11","NA  12","NA  13"
,,"Executive/ Manager","Clerk","Industrial","Security Services","Foreign employment","Masonry","Carpenter","Animal Husbandry","Business","Apparel","Labour","Agriculture","Plantations","Others","Unemployment"
"1173","Millagahamula","1","10","3","32","20","24","55","15","23","30","300","120","8","116","208"
"1148","Pabadeniya","0","5","9","8","6","70","28","9","9","2","36","48","5","85","111"
"1182","Rajathalawa","3","22","31","23","15","37","10","37","14","7","136","123","67","141","195"
"1181","Pupuressa","0","15","18","15","102","42","28","156","54","1","385","528","6","0","2460"
,"Total","4","52","61","78","143","173","121","217","100","40","857","819","86","342","2974"
