"Table 5.16: Causes of forest fires in the MWS-038","","","",""
"Forest Reserve","Rank value of causes of forest fires","NA","NA  1","NA  2"
,"Recklessness","To obtain fresh grass","Sabotaging","Malicious entertainment"
"Bolagandawela forest 
(A part of a VRR sanctuary)","1","-","-","-"
