"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-038 belongs to Nildandahinna DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  Rs","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","519 E","Morangathenna","1. Soil conservation practices (50°-60°)","5,1","7.12755, 7.12736","80.88884, 80.88809","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000.00","Labour and other basic services by the Local community","1.5 Years"
,,,"2. Soil conservation practices (50°-60°)","5","7.13086","80.89288","2.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","625,000.00","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices (50°-70°)","5","7.13085","80.89257","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000.00","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","7,125,000.00",,,,,,,,,,,
