"Table 2.1: Administrative details of MWS-038","","","","","",""
"ID","GND No","GN Name","Total Area of the GN  ha","Area in the MWS 038  ha","X  Area belongs to MWS 038","Remarks"
"1","519E","Morangathenna","1357.0","698.0","51.44%",
"2","515","Batagolla*","131.2","0.0002","0.0002%","Included in Walapane DSD"
"3","513B","Serasunthenna*","2563.6","0.04","0.002%","Included in Walapane DSD"
"4","514F","Deliwela South*","355.2","0.01","0.002%","Included in Walapane DSD"
