"Table 5.17: Stakeholder involvement in the MWS-038","","",""
"Stakeholder","Legislation","Mandate","Watershed Component"
"Department of Wildlife Conservation","Fauna and Flora Protection Ordinance","To protect fauna and flora","Flora and fauna"
"Department of Irrigation","Irrigation Ordinance","To amend and consolidate the law relating to Irrigation","Rivers, streams, tanks and reservoirs"
"Central Environment Authority","National Environmental Act","To make provisions for the protection, management, and enhancement of the environment; for the regulation, maintenance, and control of the quality of the environment; for the prevention, abatement, and control of pollution.","Environmentally sensitive areas"
"Non-Governmental Organizations","Voluntary Social service Organization (Registration and Supervision) Act","To provide for the registration with the government of voluntary social service organizations, to facilitate the coordination activities of such organizations","Rural communities"
