"Table 5.29: Cost estimation of livelihood development activities","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","Contribution     from line agency  GoSL","Final cost to LA  GoSL  Rs"
"Paddy","Tray","Morangathenna -","250","80","20,000.00","50%","10,000.00"
,"Electric fence","Morangathenna -","4","36,000.00","144,000.00","50%","72,000.00"
"Vegetable","Capsicum","Morangathenna -","4","40/perches unit - 20g. 3,000.00","12,000.00","100%","12,000.00"
,"Cabbage","Morangathenna -","3","40/perches unit - 20g. 6,000.00","18,000.00","100%","18,000.00"
,"Green chili","Morangathenna -","5","40/perches unit - 50g. 1,500.00","7,500.00","100%","7,500.00"
,"Beans","Morangathenna -","5","40/perches unit - 1500g. 4,500.00","22,500.00","100%","22,500.00"
,"Tomato","Morangathenna -","4","40/perches unit - 10g. 6,000.00","24,000.00","100%","24,000.00"
"Fruits","Banana","Morangathenna -","100","120","12,000.00","100%","12,000.00"
,"Avocado","Morangathenna -","50","200","10,000.00","100%","10,000.00"
,"Mango","Morangathenna -","30","300","9,000.00","100%","9,000.00"
,"Orange","Morangathenna -","50","100","5,000.00","100%","5,000.00"
"Export Crops","Coffee","Morangathenna -","800","30","24,000.00","100%","24,000.00"
,"Pepper","Morangathenna -","1,200","40","48,000.00","100%","48,000.00"
,"Ginger","Morangathenna -","70","18","1,260.00","100%","1,260.00"
"Livestock","No of cow","Morangathenna -","2","250,000.00","500,000.00","50%","250,000.00"
,"No of chicks","Morangathenna -","75","1,500.00","112,500.00","50%","56,250.00"
"Protected Agriculture","Polytunnel","Morangathenna -","1","700,000.00","700,000.00","50%","350,000.00"
"Value added products","Bee keeping (Box 4000/= & 4000/= bees)","Morangathenna -","10","8,000.00","80,000.00","75%","60,000.00"
,"Black Pepper making machines (Balancing kit)","Morangathenna -","3","10,000.00","30,000.00","50%","15,000.00"
,"Curry powder grinding","Morangathenna -","1","120,000.00","120,000.00","50%","60,000.00"
"Total Cost",,,,,"1,899,760.00",,"1,066,510.00"
