ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,geojson,Year
1,MWS-013,Proposal,Soil and Water Conservation,Key activties proposed for soil and water conservation in MWS-013 belongs to Hanguranketha DS Division,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_013/Table 6_1.geojson,
2,MWS-013,Proposal,Soil and Water Conservation,Reported landslides/Other hazards in MWS-013 belong to Hanguranketha DS Division,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_013/Table 6_2.geojson,
3,MWS-013,Proposal,Minor tanks restoration,Details of Minor Tanks and Anicuts in MWS-013,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_013/Table 6_3.geojson,
13,MWS-013,Proposal,Water resource management,Estimate of water source protection and domestic water supply related activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_013/Table 6_13.geojson,
14,MWS-013,Proposal,Water resource management,Cost estimate of minor irrigation-related proposals with locations,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_013/Table 6_14.geojson,
17,MWS-013,Proposal,Water quality improvement,Details related to water pollution in MWS-013 belongs to Hanguranketha DS Division,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_013/Table 6_17.geojson,
19,MWS-013,Proposal,Stream reservation,Total Cost Estimate for Stream Reservation Proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_013/Table 6_19.geojson,
