No,GND No.,Torrent/ Stream/ Canal,N,E,Current status,Best solution,Estimate (Rs)
37,498 A,Mala Kadura 2,7.140515,80.772261,Bank erosion on both sides.,Areca nut trees need to be planted on both of the banks.,"    47, 000.00 "
38,498 A,Mala Kadura 3,7.139866,80.771568,Bank erosion occurs on both sides during rainy days.,The stream need to be constructed as a leader drain.,"  200, 000.00 "
39,498 A,Mala Kadura 4 (near the community hall),7.140211,80.770983,High bank erosion on both sides.,Areca nut trees need to be planted on both of the banks. And the stream need to be constructed as a leader drain.,"  394, 000.00 "
40,498 A,Stream near the playground,7.141737,80.76745,Bank erosion on both sides.,Areca nut trees need to be planted on both of the banks.,"  237, 400.00 "
41,498 E,Hirala Kadura,7.134767,80.755293,Soil erosion.,"A reservation need to be allocated and trees need to be planted. (Area- 4.8m, Trees- Areca nut, Kithul)","  161, 400.00 "
42,498 E,Hiran Ella,7.13445,80.754956,Soil erosion.,"A reservation need to be allocated and trees need to be planted. (Area- 7.2m, Trees- Areca nut, Kithul).  Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H)","  305, 000.00 "
43,497,Koskadura,7.168996,80.745476,Soil erosion of lands on both sides.,A reservation need to be allocated in both sides and Areca nut trees need to be planted at Z shape. (Area- 3m),"  578, 000.00 "
44,497,Hewan Arawa Kadura,7.167031,80.743544,Soil erosion of lands on both sides.,"Reservations need to be allocated in both sides and trees need to be planted. (Area- 4.8m, Trees- Areca nut, Coconut, Kithul)","  188, 000.00 "
45,497,Pansala Handiya Kadura,7.16588,80.747347,"The water from the stream is adding to the canal, causing it to overflow and damage the houses.",Construction of leader drain across streams -Size 100 m(L)x1m(W)x1m(H) Construction of 0.30m Dia Drainage under crossing to prevent water flow in to canal,"  886, 000.00 "
46,498,Construct the Poodagoda new stream,7.12929,80.761638,Water flows across the cropland and cause to harvest losses/ damages.,Construction of leader drain across streams -Size 100 m(L)x1m(W)x1m(H). Replanting (5m x 10m) bamboo species and vetiver grass or riparian species,"  535, 000.00 "
47,498,Gallegoda Kadura,7.130464,80.766183,Land degradation.,"A reservation need to be allocated in both sides of the stream and trees need to be planted. (Area- 4.8m, Trees- Areca nut, Kithul, other trees) ","  121, 000.00 "
48,498,Wegama Oya,7.129112,80.76437,Soil erosion of lands on both sides.,"A reservation need to be allocated in both sides of the 'Oya' and trees need to be planted. (Area- 7.2m, Trees- Areca nut, Kithul, Bamboo, Mee). Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop.","    94, 000.00 "
,,Total,,,,,"20,155,500.00"
