Type,Items Needed,GNDs Requested,Number,Unit Cost (Rs.),Total Cost (Rs.),Contribution (%) from line agency/ GoSL,Final cost to LA/ GoSL (Rs.)
Paddy,Tray,"Bulugahapotiya-200, Diggalpotha-3000, Hapugasdeniya-20, Karamidula-10, Kosgaha Debala-26 , Makempe-30, Poramadulla-800, Puranagama-2500, Unanthenna-5000",11586,80,"926, 880",50%,"463, 440"
,Electric fence,"Agappala-30, Bulugahapitiya-15, Diggalpotha-78, Hapugasdeniya-12, Karamidula-75, Kosgaha debala-26, Labuhena-25, Madumana2-20, Makempe-15, Poramadulla-10, Puranagama-50, Unanthenna-55",411,"36, 000","14, 796, 000",50%,"7, 398, 000"
Fruits,Banana,"Diggalpotha-300, Hapugasdeniya-18, Karamidula- 200, Kosgaha debala-200, Makempe-50, Poramadulla-300, Puranagama-200, Unanthenna-200, Wegama-100",1568,120,"188, 160",100%,"188, 160"
,Avocado,"Diggalpotha-30, Hapugasdeniya-10, Makempe-75, Unanthenna-100, Wegama-35",250,200,"50, 000",100%,"50, 000"
,Mango,"Diggalpotha-200, Hapugasdeniya-24, Kosgaha debala-150, Labuhena-200, Makempe-12, Poramadulla-200, puranaga-50, Unanthenna-200, Wegama-40 ",1076,300,"322, 800",100%,"322, 800"
,Papaya,"Diggalpotha-250, Hapugasdeniya-15, Karamidula-100, Makempe-310, Poramadulla-100, Wegama-40",815,,    -  ,,
Export Crops,Coffee,"Bulugahapitiya-100, Diggalpotha-12000, Karamidula- 600, Kosgaha debala-600, Labuhena- 2400, Madumana2-100, Makempe-1800",17600,30,"528, 000",100%,"528, 000"
,Pepper,"Agappala-3000, Bulugahapitiya-200, Diggalpotha- 2500, Ekiriya-500, Hapugasdeniya- 800, Kosgaha debala-1600, Labuhena-2400, Madumana2-300, Makempe- 3000, Poramadulla-2500, Puranagama-3000, Unanthenna-1000",20800,40,"832, 000",100%,"832, 000"
,Vanilla,"Bulugahapitiya-50, Ekiriya-100, Kosgaha debala- 700, Makempe-1000, Poramadulla-200",2050,40,"82, 000",100%,"82, 000"
,Clove," Kosgaha debala- 300, Makempe-2000, ",2300,130,"299, 000",100%,"299, 000"
,Ginger,"Bulugahapitiya-100, Hapugasdeniya-200, Kosgaha debala-400, Labuhena- 800, Madumana2-100, Makempe-500, Unanthenna-400, poramadulla-120",2620,18,"47, 160",100%,"47, 160"
Livestock,No of cow,"Agappala-10, Bulugahapitiya-5, Diggalpotha-5, Karamidula-6, Kosgaha debala-6, Labuhena-5, Madumana2-6, Makempe-8, Poramadulla-2, wegama-4",57,"250, 000","14, 250, 000",50%,"7, 125, 000"
,No of  goat,"Agappala-5, Karamudula-8",14,"40, 000","560, 000",50%,"280, 000"
,No of chicks,"Bulugahapitiya-7, Diggalpotha-12, Ekiriya-3, Karamidula-10, Kosgaha debala, 30, Labuhena-10, Makempe-20, Poramadulla-10, puranagama-3, Unanthenna-10",115,"1, 500","172, 500",50%,"86, 250"
,Incubator,"Karamidula-3, Kosgaha debala- 1, Labuhena-2, Madumana2- 3, Makempe-2, Poramadulla-2, Unanthenna-3",16,"60, 000","960, 000",50%,"480, 000"
,No of sheds - cow," Bulugahapitiya-1, Diggalpotha-5, Karamidula-5, Kosgaha debala-7, Labuhena-5,  Madumana2-5, Makempe-5, Poramadulla-5, Puranagama-5, Unanthenna-2, wegama-2",47,"300, 000","14, 100, 000",50%,"7, 050, 000"
,No of sheds - goat,Karamidula-4,4,"150, 000","600, 000",50%,"300, 000"
Protected Agriculture,Polytunnel,"Agappola-2, Bulugahapitiya-2, Diggalpotha-2, Ekiriya-2, Hapugasdeniya-2, Kosgaha debala-2, Madumana2-2, Makempe-2, Poramadulla-2, Puranagama-1, Unanthenna- 2, Wegama- 2",23,"700, 000","16, 100, 000",50%,"8, 050, 000"
Value added products,Bee keeping (Box & bees),"Karamidula-10, Kosgaha debala-1, Labuhena-15, Madumana2-10, Makempe-5, Poramadulla-5, Unanthenna-10",56,"8, 000","448, 000",75%,"336, 000"
,Curry powder grinding,"Karamidula-1, Unanthenna-1",2,"120, 000","240, 000",50%,"120, 000"
,Jackfruit drying machines,Karamidula-1,1,"850, 000","850, 000",50%,"425, 000"
Total Cost,,,,,"66,352,500",,"34,462,810"
