No,GND No.,Name of the irrigation,N,E,Observed problems,Best solution,Estimate (Rs)
34,501 C,Madumana 2 Ela anicut,7.116463,80.756937,Seepages from the dam of the anicut.,"A wall needs to be constructed. (L- 6m, W- 0.45m, H-0.6m)","26,000.00"
35,501 C,Madumana Amuna Ela,7.116639,80.757053,Seepages towards the field side.,"A Side wall needs to be constructed. (L- 15m, W- 4"", H-0.45m)","49,000.00"
36,498 C,Palle Hiran Ella,7.135797,80.75533,Seepages from the canal towards the field side. (L- 4125m),"The canal need to be concrete lined with U section. (L- 4125m, W- 0.6m, H- 0.3m, T- 6"") ","683,000.00"
37,498 C,Uda Hiran Ella,7.137824,80.755427,Seepages from the canal towards the field side. (L- 3750m),"The canal need to be concrete lined with U section. (L- 3750m, W- 0.45m, H- 0.3m, T- 6"")","469,000.00"
38,498 C,Dorakada Ela,7.13758,80.76199,Seepages from the canal towards the field side. (L- 800m),"The canal need to be concrete lined with U section. (L- 800m, W- 0.3m, H- 0.3m, T- 4"")","2,114,000.00"
39,498 C,Katuel Arawa,7.1384,80.760212,Seepages from the canal towards the field side. (L- 500m),"The canal need to be concrete lined with U section. (L- 500m, W- 0.45m, H- 0.3m, T- 6"")","1,348,000.00"
40,498 C,Amupola Ela,7.13443,80.762585,The canal is not in proper operational condition. Water should be distributed through a pipe.,"The canal needs to be constructed with drainage crossings and concrete lining. (L- 9m, W- 0.3m, H- 0.3m, T- 6"", D.crossing L- 3m)","139,000.00"
41,498 A,Naran Kadura Ela,7.143288,80.766676,The nearby houses are damaged by the water flow from the canal.,"The canal need to be concrete lined with U section. (L- 400m, W- 0.3m, H- 0.3m, T- 6"")","145,000.00"
42,498 A,Naran Kadura Ela,7.142266,80.767754,The side wall of the canal is dilapidated on the field side.,"A wall needs to be constructed on the field side using earth filling. (L- 10.5m, W- 0.6m, H- 1.8m)","72,000.00"
43,498 A,Ukgalpoththa Ela,7.141628,80.767173,Seepages from the canal towards the field side.,"Water need to be distributed using a pipe. (L- 4.5m)
The canal need to be concrete lined with U section. (L- 200m, W- 0.3m, H- 0.3m, T- 4"")","158,000.00"
44,498 A,Dehiaththamulla Ela,7.144928,80.763773,The canal is prone to subsidence and is in a high-risk situation.,Need to provide a technical solution to prevent subsiding.,"35,000.00"
45,498 E,Palle Hiran Ella anicut,7.13445,80.754956,The anicut is dilapidated.,"Construct the anicut, construct anicut gates, and add timber planks. (Dam- 8*0.6*1.8m, L*W*H) (Gate width- 0.9m, No of gates- 2) OR
Construct as a drain by excavating the bedrock horizontally. (L- 8m, Depth- 0.3m)","570,000.00"
46,498 E,Palle Hiran Ella Ela,7.135945,80.75535,"A part of the canal is not  concrete lined. (L- 2000m)
Seepages from the canal towards the field side.","The canal needs to be concrete lined including, the construction of side walls. (L- 2000m, H- 0.3m, T- 6"", Distance among walls- 0.45)
The field side of the canal need to be earth filled. (W- 0.6m)","631,000.00"
47,498 E,Wadurakola Ela,7.14612,80.749369,"A part of the canal is not  concrete lined. (L- 1000m)
Boulders are collapsing into the canal.","The canal needs to be concrete lined and the field side of the canal need to be earth filled. (L- 1000m, H- 0.3m, T- 6"", Distance among walls- 0.3, E.filling W- 0.6m)
The boulders collapsed into the canal need to be removed.","1,141,000.00"
48,498 E,Thotupola Arawa Ela,7.144841,80.754044,A part of the canal is not  concrete lined. (L- 250m),"The canal needs to be concrete lined including, the construction of side walls. (L- 250m, H- 0.3m, T- 6"", Distance among walls- 0.3)
The field side of the canal need to be earth filled. (W- 0.6m)","611,000.00"
49,498 E,Govindarawa Ela,7.14523,80.751945,A part of the canal is not  concrete lined. (L- 300m),"The canal needs to be concrete lined including, the construction of side walls. (L- 300m, H- 0.3m, T- 6"", Distance among walls- 0.45m)
The field side of the canal need to be earth filled. (W- 0.6m)","585,000.00"
50,497,Weli Liyadda anicut,7.166334,80.74429,Cannot distribute water properly due to absence of the side  wall of the stream.,"Construct the side wall of the anicut, construct anicut gates, and add timber planks. (Wall- 6*0.45*1.5m, L*W*H) (Gate width- 0.9m, No of gates- 2)","148,000.00"
51,498,Huriyala Ela,7.130411,80.763344,Seepages from the canal towards the field side.,"The bottom of the canal needs to be concrete lined. (L- 1500m, W- 0.45m, T- 2"")
A part of the canal need to be concrete lined with U section. (L- 100m, W- 0.45m, H- 0.45m, T-6"")","965,000.00"
52,498,Kithul Arawa Ela 1,7.129141,80.762651,A part of the canal is insufficient for distributing water. (L- 400m),"The entire canal need to be concrete lined with U section. (W- 0.3m, H- 0.75m, T- 8"")","1,440,000.00"
53,498,Kithul Arawa Ela 2,Unable to reach the location.,Unable to reach the location.,Seepages from the canal towards the field side. (L- 100m),"The canal needs to be concrete lined including, the construction of side walls. (L- 100m, H- 0.45m, T- 4"", Distance among walls- 0.3m)","423,000.00"
54,498,Gallegoda Ela,7.129297,80.764528,Do not cultivate because the canal's capacity is insufficient to distribute water.,???? 6 ???? 200m ???? ??? 10 ?? ???? 4 ??? ??????????? ???? ???? ????? ?? ???? ??????,"257,000.00"
55,498,Gallegoda anicut,7.129373,80.764866,Unable to distribute water properly to the canal due to the dam of the anicut not being at operational level.,"Construct the dam of the anicut and construct anicut gates. (Dam- 4*0.6*0.9m, L*W*H) (Gate width- 0.9m, No of gates- 2)","223,000.00"
,,Total,,,,,"24,423,000.00"
