Vegetation type,Extent (ha),Percentage from the natural vegetation types and Forest Plantations,Percentage from the total Land area of the mini watershed
Dense forests,38.5,12,2.2
Shrublands,68.4,21.2,8
Grasslands,73.2,22.7,3.9
Forest Plantations,141.9,44.1,4.2
Total,322,100,18.3
