"Table 5.5: Details of minor tanks available in MWS-011","","",""
"V1","V2","V3","V4"
"Tank name","Ownership","Location details","Remarks"
"Imbuldanda Pathana Wewa","DAD","7.14593 N, 80.76925 E","Recommended to improve reservation"
