Forest reserve,Total Extent,Extent in the MWS,Peripheral length (Km),Gazette No,Gazette date,Length of boundary demarcated with concreate posts ( Km)
Bihiriella forest,56.96,56.96,3.52,-,-,3.52
Aspanthiya forest,86.46,86.46,7.8,-,-,7.8
