Activity,Location,Number and Units,Unit Cost (LKR),Cost (LKR),Duration
Conduct awareness programmes,"Unanthenna, Kosgaha debala, Narankadura, Galkadulla, Madumana, Wegama ",12,"20, 000","240, 000",2025 and 2027
Establish forest protection action groups (With fire protection items),"Unanthenna, Kosgaha debala, Narankadura, Galkadulla, Madumana, Wegama",6,"25, 000","150, 000",2025
Maintain forest boundaries,Aspanthiya forest,6.6 km/ 176 Boundary posts,235,"82, 720",2025 and 2028
Erect display boards,"Unanthenna, Kosgaha debala, Narankadura, Galkadulla, Madumana, Wegama",7,"20, 000","140, 000",2025
Distribute energy efficient stows,"Unanthenna, Kosgaha debala, Narankadura, Galkadulla, Madumana, Wegama",300 units,500,"150, 000",2025
Establish live fence with Hana ,Rathmatiya forest (MWS-011 and MWS 12),8.5 km,"200, 000","1, 700, 000",2025
Maintenance of Live fence,Rathmatiya forest (MWS-011 and MWS 12),8.5km,"90, 000
(5 times)","3, 825, 000",2026 - 2031
Conversion of Pinus plantations into broad leaved species ,Hewaheta (Plantation near time resort),5 ha,"200, 000","1, 000, 000",2026
Maintenance of converted Pinus plantation,Hewaheta (Plantation near time resort),5 ha,"200, 00","1, 000, 000",2027-2030
Home garden development,"Madumana, Narankadura, Kosgaha debala",60 units,"2, 000","120, 000",2027
Total,,,,"8,407,720",
