"Table 5.6: Salient details of Imbuldanda Pathana Wewa in MWS-011",""
"Name of Tank","Imbuldanda Pathana Wewa"
"GN","Labuhena – 498F"
"MWS","MWS-011"
"DS","Hanguranketha"
"District","Nuwara Eliya"
"Ownership","DAD"
"Construction","-"
"Location (Lat, Lon)","7.14593N, 80.76925 E"
"Agro-Ecological zone",
"Water Surface Area (approx.) (ha)","0.03"
"Tank capacity (m3)","-"
"Catchment Area (gross) (km2)",
"Total command area (ha)","2.5"
"Farm Organization","Rakitpe FO"
"F.O. registration number",
"Reservations are available or not","Yes"
"Reservations are marked or not","No"
,
"Bund","Concrete"
"Bund Length (m)","40"
"Top width (m)",
"Visible bund height (m)","2"
"US & DS slopes (h/b)","-"
"Availability of rip rap","-"
,
"Spillway",
"Station (km+m)","Middle"
"Type","CO"
"Length (m)","2m"
"Observed Afflux (m)","0.3"
"Duration of spilling (days)","75"
,
"Sluices",
"No of Sluices (nos)","1"
"Station/s (km+m)","0+30"
"Type/s","Attached to concrete wall"
"Barrel size/s (mm)","300"
"Command area of the sluice (ha)","2.5"
,
"Observations / Damages","Good Condition"
"Recommendations","1. Desilting of the tank by 0.3 m, area 90 sqm."
,"2. Build a fence around the tank."
,"3. Provide 3000 sqm of dense randomly mixed potential natural vegetation, agave, areca, and vetiver plantation along the perimeter."
,"4. Reconstruct the tank around the spring that supply water to the tank. (L-2.4m, W-1.8m, H-1.2m)"
