"Table 2.6: Age group categorization of the population of MWS-011 (GN-wise)","","","","","","","","","","","","","",""
"GND No","GND Name","X0 4","X5 9","X10 14","X15 19","X20 24","X25 29","X30 34","X35 39","X40 44","X45 49","X50 54","X55 59","Above 60 years"
"498B","Agappala","46","44","38","33","33","23","39","58","43","33","57","31","123"
"501A","Bulugaha-pitiya","10","15","17","18","36","39","43","46","31","33","24","26","115"
"502B","Diggalpotta","49","68","78","84","70","62","59","60","73","70","64","60","132"
"502","Ekiriya","26","30","33","46","39","42","31","31","35","38","40","37","96"
"501E","Enasal Arawa","25","57","71","54","49","53","42","62","42","61","56","46","133"
"502A","Hapugas-deniya","32","53","53","42","57","48","40","39","40","49","39","43","119"
"499B","Karamidula","25","31","34","32","46","41","39","32","35","33","36","37","95"
"501D","Kawataya-mana","39","36","35","42","41","37","32","30","36","20","28","33","96"
"500D","Kosgaha Debala","45","57","41","64","63","59","46","47","53","47","52","46","114"
"498F","Labuhena","45","57","41","64","63","59","46","47","53","47","52","46","114"
"501C","Madumana2","60","65","73","72","62","64","66","72","69","63","60","57","171"
"498C","Makempe","24","32","35","30","25","25","27","27","26","41","29","25","91"
"498A","Poramadulla","176","224","216","207","182","206","212","216","210","173","157","141","355"
"498E","Puranagama","20","18","20","17","15","18","20","12","24","12","17","17","48"
"497","Unanthenna","25","34","47","35","40","40","36","39","42","30","41","24","103"
"498","Wegama","22","23","30","45","39","20","27","24","30","33","32","25","73"
,"Total","669","844","862","885","860","836","805","842","842","783","784","694","1978"
