"Table 5.5: Salient features of Ela Amuna Wewa",""
"Tank Name","X Ela Amuna Wewa"
"GN","Rath Yaya"
"MWS","MWS-18-1"
"DS","Mathurata"
"District","Nuwara Eliya"
"Ownership","DAD"
"Construction",
"Location (Lat, Lon)","7.08088 N80.77932 E"
"Agro-Ecological zone",
"Water Surface Area (approx.) (ha)","0.05"
"Tank capacity (m3)",
"Catchment Area (gross) (km2)",
"Total command area (ha)",
"Farm Organisation",
"F.O. registration number",
"Reservations are available or not",
"Reservations are marked or not",
,
"Bund","Earthen"
"Bund Length (m)","30"
"Top width (m)","1.5"
"Visible bund height (m)","3"
"US & DS slopes (h/b)","1:1"
"Availability of rip rap","No"
,
"Spillway",
"Station (km+m)","0+025"
"Type","BCW"
"Length (m)","5"
"Observed Afflux (m)","0.3"
"Duration of spilling (days)",
,
"Sluices",
"No of Sluices (nos)","1"
"Station/s (km+m)","0+00"
"Type/s","HW"
"Barrel size/s (mm)","225"
"Command area of the sluice (ha)",
,
"Observations / Damages",
"Recommendation","Desilting of the tank
Replating the reservation.
Construct a new spillway across Rathhinda Kandura."
