"Table 2.1: Administrative details of MWS-018-1","","","","","",""
"ID","GND No","GN Name","Total Area of the GN  ha","Area in the MWS 018 1  ha","X  Area belongs to MWS 018 1","Remarks"
"1","481A","Bodhimalkada*","125.9","5.5","4.4%","Included in MWS-019"
"2","511A","Deegalahinna","927.9","375.0","40.4%","Shared between MWS-015 and MWS-018-1"
"3","511E","Elamulla*","925.4","0.0001","0.00001%","Included in MWS-015"
"4",,"Frotoft*","1297.7","3.8","0.3%","Included in a separate MWS in Walapane DSD"
"5","511D","Godigamuwa","530.8","527.1","99.3%",
"6","510","Idampitiya","23.4","22.9","98.0%",
"7","511F","Ketahira","114.6","113.6","99.1%",
"8","512E","Labuhenwala*","123.5","0.3","0.2%","Included in MWS-017"
"9","511","Manakola","39.6","37.1","93.7%",
"10","511B","Marthuwela","79.2","79.2","100.0%",
"11","512A","Metibembiya*","193.7","0.7","0.4%","Included in MWS-017"
"12",,"Muloya*","783.6","3.3","0.4%","Included in a separate MWS in Hanguranketha DSD"
"13","510B","Okandagala","186.5","185.8","99.6%",
"14",,"Padiyapelella*","42.4","0.0002","0.001%","Included in a separate MWS in Walapane DSD"
"15","511C","Rathyaya","41.6","41.6","100.0%",
"16","510A","Uda Padiyapelella","89.8","89.8","100.0%",
"17",,"Wedamulla*","1388.0","3.3","0.2%","Included in a separate MWS in Kothmale East DSD"
"18","481D","Welapahala*","157.3","21.9","13.9%","Included in MWS-019"
"19",,"Wetekegama*","41.7","0.0003","0.001%","Included in a separate MWS in Walapane DSD"
"20",,"Yatiwella*","52.6","0.0002","0.0004%","Included in a separate MWS in Walapane DSD"
