Activity,Location,Number and Units,Unit Cost (LKR),Cost (LKR),Duration
Conduct awareness programs,"Idampitiya,",16,"20,000","320,000",2024 and 2027
,"Uda gabbala, Godigamuwa, ",,,,
,"Ketahira,",,,,
,"Deegalhinna,",,,,
,"Manakola,",,,,
,"Elamulla,",,,,
,Kabaragala,,,,
Establish forest protection action groups (With fire protection items),"Idampitiya,",7,"25,000","175,000",2025
,"Uda gabbala, Godigamuwa, ",,,,
,"Ketahira,",,,,
,"Deegalhinna,",,,,
,"Manakola,",,,,
,Kabaragala,,,,
Boundary Demarcation,Ketahira forest,2Km/ 80 Boundary posts,"6,500","520,000",2027
Maintain forest boundaries,Piduruthalagala conservation forest,6.2 Km/ 248 Boundary posts,220,"109,120",2025 and 2028
Erect display boards,"Idampitiya,",8 Boards,"20,000","160,000",2025
,"Uda gabbala, Godigamuwa, ",,,,
,"Ketahira,",,,,
,"Deegalhinna,",,,,
,"Manakola,",,,,
,"Elamulla,",,,,
,Kabaragala,,,,
Distribute energy-efficient stows,"Idampitiya,",400 units,500,"200,000",2025
,"Uda gabbala, Godigamuwa, ",,,,
,"Ketahira,",,,,
,"Deegalhinna,",,,,
,"Manakola,",,,,
,"Elamulla,",,,,
,Kabaragala,,,,
Establish green belts and hedges,Ketahira,2 km,"125,000","250,000",2025
Maintenance of green belts and hedges,Ketahira,2 km,"90,000","180,000",2026 - 2030
Conversion of exotic plantations into native species,Hanguranketha Beat,14 ha,"250,000","3,500,000",2026/2027
Maintenance of converted plantations into broad-leaved species,Hanguranketha Beat,14 ha,"200,000","2,800,000",2027-2031
Conservation of reservation (introduce “Enasal” cultivation),Wilkada reservation,2 ha,"200,000","400,000",2026-2030
Boundary demarcation,Kondagala reservation,200 Boundary posts,"6,000","1,200,000",2027
Forest restoration ,Kondagala reservation,2 ha,"150,000","300,000",2027- 2030
Total,,,,"10,114,120",
