"Table 5.23: Forest reserves and their protection status in MWS-018-1","","","","","",""
"Forest reserve","Total Extent","Extent of the MWS 018 1","Peripheral length  Km","Gazette No","Gazette date","Length of boundary demarcated with concrete posts  Km"
"Piduruthalagala
(Conservation forest)","4,200","-","6.2","1527","14.12.2007","6.2"
"Ketahira
(Other estate forest)","14.58","-","2.3","-","-","2.3"
"Okandagala
(Other estate forest)","113.11","-","6.7","-","-","6.7"
