"Table 5.22: Deforestation and degradation drivers in the MWS-018-1","","","","","",""
"Forest reserve","Rank value of Deforestation and Degradation","NA","NA  1","NA  2","NA  3","NA  4"
,"forest fires","encroachments","Over grassing","Cutting for firewood","Land slides","Illegal felling"
"Piduruthalagala","1","3","5","2","4","6"
"Ketahira other estate forest","1","2","3","5","4","6"
"Okandagala","3","1","-","5","2","4"
