"Table 5.22: Stakeholder involvement in the MWS-040","","",""
"Stakeholder","Legislation","Mandate","Watershed Component"
"Department of Wildlife Conservation","Fauna and Flora Protection Ordinance","To protect fauna and flora","Flora and fauna"
"Central Environment Authority","National Environmental Act","To make provisions for the protection, management, and enhancement of the environment; for the regulation, maintenance, and control of the quality of the environment; for the prevention, abatement, and control of pollution.","Environmentally sensitive areas"
