"Table 2.1: Administrative details of MWS-040","","","","","",""
"ID","GND No","GN Name","Total Area of the GN  ha","Area in the MWS 040  ha","X  Area belongs to MWS 040","Remarks"
"1","521A","Hegasulla","4849.37","1866.28","38.48%","Shared between MWS-040 and MWS-041"
"2","31E","Welaoya*","1186.92","0.05","0.004%","Included in Kandeketiya DSD"
"3","31F","Mahakele*","1338.88","0.05","0.004%","Included in Kandeketiya DSD"
"4","32A","Mudagamuwa*","1173.01","0.05","0.004%","Included in Kandeketiya DSD"
"5","31G","Kivulegedara*","1147.42","0.03","0.003%","Included in Kandeketiya DSD"
