"Table 5.1: Distribution of soil erosion hazard classes in MWS-040.","","",""
"Category","Critical Range","Area  ha","Area"
"Very low","0-5 t ha-1 y-1","930.0","49.8%"
"Low","5-10 t ha-1 y-1","393.2","21.1%"
"Moderate","10-20 t ha-1 y-1","237.4","12.7%"
"High","20-50 t ha-1 y-1","73.8","4.0%"
"Very high",">50 t ha-1 y-1","232.0","12.4%"
