"Table 2.5: GN-wise demographic details of the MWS-001","","","","",""
"GND No","GND Name","No  of Houses","No  of Families","Female","Male"
"976","Uda Deltota","1,083","1132","2158","2126"
"977","Palugama","346","356","679","589"
"978","Galaha","489","497","1180","1034"
"979","Suduwella","995","1321","2355","2348"
"980","Perawatta East","320","348","654","624"
"981","Perawatta West","571","642","1555","1433"
,"Total","3,804","4,296","8,581","8,154"
