"Table 5.28: Livelihood challenges and community expectations","",""
"GN.division","Challenges","Expectations"
"Palugama","Wildlife damages
Less productivity
Animal Husbandry issues"," Suppressing animal menace, providing plant aid, remedy for animal damage, Support for animal husbandry "
"Galaha","Wildlife damages,
Less productivity of Paddy Issues of poultry farming "," Paddy cultivation trays, providing plant aid, support for poultry farming "
"Suduwella","Less productivity of Paddy Issues of poultry farming
Animal husbandry issues
Lack of support for export agriculture crops
","Paddy cultivation trays, Support for export Agriculture crops, support for animal husbandry, "
"Perawatta West","Less productivity, Wildlife damages to the crops, lack of support for export agriculture crops","Paddy cultivation trays, Support for export Agriculture crops, support for animal husbandry"
"Perawatta East","Wildlife damages
Less productivity
Animal Husbandry issues","Paddy cultivation trays, Support for export Agriculture crops, support for animal husbandry"
"Uda Deltota","Wildlife damages
Less productivity
Animal Husbandry issues"," Suppressing animal menace, providing plant aid, remedy for animal damage, Support for animal husbandry"
