"Table 2.7: Occupational details of the community of MWS-001 (GN-wise)","","","","","","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8","NA  9","NA  10","NA  11","NA  12"
,,"Executive/Manager","Clerk","Technical","Defence Sector","Foreign employment","Masonry","Carpenter","Animal Husbandry","Business","Apparel","Labour","Agriculture","Landholding farmer","Others"
"976","Uda Deltota","3","9","2","37","82","21","6","68","28","82","895","69","12","0"
"977","Palugama","2","25","10","26","29","14","8","30","13","18","5","32","20","476"
"978","Galaha","0","11","2","6","46","5","3","4","75","12","59","0","0","0"
"979","Suduwella","0","15","21","8","57","37","24","85","35","26","454","52","11","0"
"980","Perawatta East","1","4","3","3","8","16","5","5","8","0","82","35","0","3"
"981","Perawatta West","0","4","6","3","35","18","15","45","10","5","325","50","10","0"
,"Total","6","68","44","83","257","111","61","237","169","143","1820","238","53","479"
