"Table 5.32: Cost estimation of livelihood development activities","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","Contribution     from GoSL","Final cost to LA  GoSL  Rs"
"Paddy","Tray","Hegasulla- 250","250","80","20,000.00","50%","10,000.00"
,"Electric fence","Hegasulla-4","5","36,000.00","180,000.00","50%","90,000.00"
,"Green chili","Hegasulla-12","10","40/perches unit - 50g. 1,500.00","15,000.00","100%","15,000.00"
,"Beans","Hegasulla-10","10","40/perches unit - 1500g. 4,500.00","45,000.00","100%","45,000.00"
,"Tomato","Hegasulla- 15","15","40/perches unit - 10g. 6,000.00","90,000.00","100%","90,000.00"
"Fruits","Banana","Hegasulla-150","150","120","18,000.00","100%","18,000.00"
,"Mango","Hegasulla-50","50","300","15,000.00","100%","15,000.00"
,"Orange","Hegasulla-25","25","100","2,500.00","100%","2,500.00"
"Export Crops","Coffee","Hegasulla-300","300","30","9,000.00","100%","9,000.00"
,"Pepper","Hegasulla-500","500","40","20,000.00","100%","20,000.00"
,"Ginger","Hegasulla-75","75","18","1,350.00","100%","1,350.00"
"Livestock","No of cow","Hegasulla-1","1","250,000.00","250,000.00","50%","125,000.00"
,"No of chicks","Hegasulla-50","50","1,500.00","75,000.00","50%","37,500.00"
"Protected Agriculture","Polytunnel","Hegasulla-1","1","700,000.00","700,000.00","50%","350,000.00"
"Value added products","Bee keeping (Box 4000/= & 4000/= bees)","Hegasulla-8","8","8,000.00","64,000.00","75%","48,000.00"
,"Black Pepper making machines (Balancing kit)","Hegasulla-2","2","10,000.00","20,000.00","50%","10,000.00"
"Total Cost",,,,,"1,524,850.00",,"886,350.00"
