"Table 5.21: Causes of forest fires in the MWS-041","","","",""
"Forest Reserve","Rank value of causes of forest fires","NA","NA  1","NA  2"
,"Recklessness","To obtain fresh grass","Sabotaging","Burning residues for agricultural activities"
"Bolagandawela forest
(A part of VRR sanctuary)","1","-","-","2"
