"Table 2.1: Administrative details of MWS-041","","","","","",""
"ID","GND No","GN Name","Total Area of the GN  ha","Area in the MWS 041  ha","X  Area belongs to MWS 041","Remarks"
"1","521A","Hegasulla","4849.4","1659.1","34.21%","Shared between MWS-040 and MWS-041"
"2","863","Dewahandiya East*","2193.6","0.01","0.00%","Included in MWS-077 of Ududumbara DSD"
"3","945","Bembiya*","3080.2","0.001","0.00%","Included in Minipe DSD"
"4","519E","Morangathenna*","1357","137.2","10.11%","Included in MWS-039"
"5","513B","Serasunthenna*","2563.6","23.2","0.90%","Included in MWS-030 of Walapane DSD"
