"Table 5.11: Cost estimate of stream protection related proposals with locations","","","","","",""
"GND No","Name of the water source","N","E","Observation","Description","Amount  Rs"
"646","Galpihilla ela","7.352506","80.712121","During the rainy season when too much water flows, Bank erosion occurs.","Arrange rubble packing Vegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplantingbamboospeciesandvetivergrassorriparianspeciesContigencies (10%)","121,110"
,,,,,,
"648","Yakadakumburuwela stram","7.347770","80.702206","During the rainy season when too much water flows, Bank erosion occurs. The paddy lands had been  flud damage at some places","Arrange rubble packing Vegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplantingbamboospeciesandvetivergrassorriparianspeciesConstructionof3.0mhigh1:3:6(40mm)cementconcreteRetainingWallStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mMiscellaneousContigencies (10%)","921,910"
,,,,,,
,,,,"Total",,"1,043,020.00"
