"Table 5.17: Some characteristic species recorded in MWS-100-1","","",""
"Family","Species","Endemicity","Status"
"Lauraceae","Actinodaphne speciosa","E","VU"
"Berberidaceae","Berberis ceylanica","E","VU"
"Lauraceae","Cinnamomum ovalifolium","N","VU"
"Poaceae","Davidsea attenuata","EG","VU"
"Celastraceae","Salacia reticulata","E","VU"
"Phyllanthaceae","Phyllanthus emblica","N","VU"
"Lauraceae","Litsea iteodaphne","EG","VU"
"Orchidaceae","Acanthophippium bicolor","N","EN"
"Balsaminaceae","Impatiens henslowiana","N","VU"
"Lauraceae","Actinodaphne speciosa","E","VU"
"Berberidaceae","Berberis ceylanica","E","VU"
