"Table 6.1: Key activities proposed for soil and water conservation in MWS-030","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","On Off Site","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  Rs","Contribution  Local Community  LA  and the project","Time frame for the implementation","NA"
,,,,,,"N","E",,,,,,
"1","513 B","Serasunthenna","1. Renovation of natural drains - Pannal Oya",,,"7.145793","80.856578","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"300,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Happawala Kandura",,,"7.151519","80.862164","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Soil conservation practices - Serasunthenna  (50˚ - 60˚)",,,"7.153683","80.865977","16 ha","Live fencing/SALT and /or Stone terracing/lock and spills, as applied","250.00 m-1","4,000,000.00","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","4,450,000.00",,,,,,,,,,,,
,,,,,,,,,"Grand Total",,"4,450,000.00",,
