"Table 6.29: Proposed interventions MWS-030","","","","",""
"Activity","Location","Number and Units","Unit Cost  LKR","Cost  LKR","Duration"
"Conduct awareness programs","Pannala","1","20,000","20,000","2024 and 2025"
"Establish forest protection action groups (With fire protection items)","Pannala","1","25,000","25,000","2025"
"Erect display boards","Pannala","2 Boards","20,000","40,000","2025"
"Distribute energy-efficient stows","Pannala","50 units","500","25,000","2025"
"Total",,,,"110,000",
