"Table 5.21: Causes of forest fires in the MWS-002-2","","","","",""
"Forest Reserve","Rank value of causes of forest fires","NA","NA  1","NA  2","NA  3"
,"Unintentional","To obtain fresh grass","Sabotaging","To have fun","Burning residues for agricultural activities"
"Piduruthalagala
(Conservation forest)","2","1","5","3","4"
"Warakalawita
(Other estate forest)","1","-","2","-","-"
