"Table 5.19: Forest reserves and their protection status in MWS-002-2","","","","",""
"Forest reserve","Total Extent","Peripheral length within the MWS  Km","Gazette No","Gazette date","Length of boundary demarcated with concreate posts  Km"
"Piduruthalagala
(Conservation forest)","4,200","9.46","1527","14.12.2007","9.46"
"Warakalawita
(Other estate forest)","9.7","1.03","-","-","1.03"
