"Table 5.35: Cost estimation of livelihood development activities","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","Contribution     from line agency  GoSL","Final cost to LA  GoSL  Rs"
"Paddy","Tray","Gedereiyawa-20","20","80","1,600.00","50%","800.00"
,"Electric fence","Gedereiyawa-10","10","36,000.00","360,000.00","50%","180,000.00"
"Export Crops","Coffee","Gedereiyawa-100,","100","30","3,000.00","100%","3,000.00"
,"Pepper","Gedereiyawa-1000","1000","40","40,000.00","100%","40,000.00"
,"Vanilla","Gedereiyawa-1000","1000","40","40,000.00","100%","40,000.00"
,"Ginger","Gedereiyawa-1000","1000","18","18,000.00","100%","18,000.00"
"Livestock","No of cow","Gedereiyawa-6","6","250,000.00","1,500,000.00","50%","750,000.00"
,"No of goat","Hope-10","10","40,000.00","400,000.00","50%","200,000.00"
,"No of chicks","Gedereiyawa-75, Hope-50","125","1,500.00","187,500.00","50%","93,750.00"
,"Incubator","Gedereiyawa-2","2","60,000.00","120,000.00","50%","60,000.00"
,"No of sheds - cow","Gedereiyawa-5, Hope-5","10","300,000.00","3,000,000.00","50%","1,500,000.00"
,"No of sheds - goat","Gedereiyawa-5, Hope-5","10","150,000.00","1,500,000.00","50%","750,000.00"
"Protected Agriculture","Polytunnel","Gedereiyawa-2","2","700,000.00","1,400,000.00","50%","700,000.00"
"Value added products","Bee keeping (Box 4000/= & 4000/= bees)","Gedereiyawa-10","10","8,000.00","80,000.00","75%","60,000.00"
,"Curry powder grinding","Gedereiyawa-1","1","120,000.00","120,000.00","50%","60,000.00"
"Total Cost",,,,,"8,770,100.00",,"4,455,550.00"
