"Table 5.15: Vegetation types in the MWS-002-2","","",""
"Vegetation type","Extent  ha","X  from natural vegetation types and forest plantations","Percentage from the total land area of MWS"
"Dense forests","448.6","81.5","49.3"
"Shrublands","44.1","8.0","4.8"
"Grasslands","2.0","0.4","0.2"
"Forest Plantations","55.8","10.1","6.1"
"Total","550.5","100","60.4"
