"Table 6.21: Unit rates of SABO dams, Storage tanks, Leader drains, etc","","",""
"Item","Description","Location","Amount  Rs"
"1","Desilting tank bed","Tank bed",
"1.1","Desilting of tank beds including removing water weeds and appropriate disposal of material 0.5km DS from the tank (D4 + Loader + Dumper truck) -0.30m thickness over 100% of the water spread area",,"357,600.00"
"2","Soil Conservation","Reservation",
"2.1","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",,"267,000.00"
"3","Miscellaneous",,"400.00"
,"Total",,"625,000.00"
