"Table 6.16: Implementation schedule of four tanks in MWS-027","","",""
"Item","Description","Location","Amount"
"1","Desilting tank beds including removing water weeds",,
"1.1","Desilting of tank beds including removing water weeds and appropriate disposal of material 0.5km DS from the tank (D4 + Loader + Dumper truck) -0.30m thickness over 50% of the water spread area","Tank bed","107,280.00"
"2","Repairs to the Sluice","Tank bund","750,000.00"
"3","Soil Conservation","Reservation",
"3.1","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",,"267,000.00"
"4","Miscellaneous",,"720.00"
,"Total",,"1,125,000.00"
