"Table 6.1: Key activities proposed for soil and water conservation in MWS-027","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","On Off Site","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  Rs","Contribution  Local Community  LA  and the project","Time frame for the implementation","NA"
,,,,,,"N","E",,,,,,
"1","515E","Maha Uva","No major issues are reported.",,,,,,,,,,
"2","516","Ketakandura","1. Renovation of natural drains - Yakkatuwa Oya",,"Off","7.104607   7.106619","80.880806   80.877315","2.5 km","Clearing and planting some trees along the banks and other conservation practices",,"250,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Hunuketiya Kandura",,"Off","7.106619","80.877315","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Keena Kandura",,"Off","7.103641","80.875632","800 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"80,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Soil conservation practices - Ketakandura  (60˚ -70˚)",,"On","7.106798","80.874515","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,500,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices - Ketakandura  (60˚ -70˚)",,"On","7.103574","80.873348","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,000,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"6. Soil conservation practices - Ketakandura (60˚ -70˚)",,"On","7.081504","80.869085","7 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,750,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"7. Soil conservation practices - Ketakandura  (60˚ -70˚)",,"On","7.106543","80.880544","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","500,000.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","7,180,000.00",,,,,,,,,,,,
"3","516A","Kendagolla","1. Soil conservation practices - Garden  (60˚ - 70˚)",,"On","7.091517","80.872522","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,250,000.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,250,000.00",,,,,,,,,,,,
"4","516B","Egodakanda","1. Renovation of natural drains - Yakkatuwa Oya",,"Off","7.082263","80.872972","2.5 km","Clearing and planting some trees along the banks and other conservation practices",,"250,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Kovil Oya",,"Off","7.093577","80.870517","2 km","Clearing and planting some trees along the banks and other conservation practices",,"200,000.00","Labour and other basic services by the Local community/Shramadana","0.5 Years"
,,,"3. Establishing a retaining wall - Near Jamis shop",,"On","7.084618","80.870935","23 m x 4 m x 0.5 m","Retaining wall","2,000.00 m-3","92,000.00","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Establishing a retaining wall - Egodakanda Community Hall",,"On","7.086175","80.871862","26 m x 3 m x 0.5 m","Retaining wall","2,000.00 m-3","78,000.00","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Establishing a retaining wall - Maha Uva Community Hall",,"On","7.084033","80.872718","20 m x 3 m x 0.5 m","Retaining wall","2,000.00 m-3","60,000.00","Labour and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices - Egodakanda Cultural Centre (40˚ - 50˚)",,"On","7.085562","80.872163","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","250,000.00","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","930,000.00",,,,,,,,,,,,
"5","516C","Werellapathana","1. Renovation of natural drains - Halmee Kandura",,"Off","7.074022","80.878283","2.4 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"240,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Soil conservation practices - Tea Cultivated Land (60˚ - 70˚)",,"On","7.073785","80.880692","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,000,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Vegetables Cultivated Land (50˚ - 60˚)",,"On","7.07198","80.882058","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,500,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Tea Cultivated Land (50˚ - 60˚)",,"On","7.077842","80.881147","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,500,000.00","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","6,240,000.00",,,,,,,,,,,,
"6","516D","Mahapathana","1. Renovation of natural drains - Mahapathana Ela",,"Off","7.06884","80.877083","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Ma Ussakele - Yakkatava Oya",,"Off","7.06082","80.87521","6.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"650,000.00","Labour and other basic services by the Local community/ Shramadana","1 Year"
,,,"3. Renovation of natural drains - Ma Ussakele Upper Division Ela",,"Off","7.06288","80.875558","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
