"Table 6.15: Summary of cost of rehabilitation of tanks located in MWS-027","","",""
"Item","Description","Location","Amount  Rs"
"1","Desilting tank beds including removing water weeds",,
"1.1","Desilting of tank beds including removing of water weeds and appropriate disposal of material 0.5km DS from the tank (D4 + Loader + Dumper truck) -0.30m thickness over 50% of the water spread area","Tank bed","804,600.00"
"2","Repairs to the Sluice","Tank bund","250,000.00"
"3","Repairs to the Spill","Tank bund","250,000.00"
"4","Soil Conservation",,
"4.1","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","Reservation","267,000.00"
"5","Miscellaneous",,"3,400.00"
,"Total",,"1,575,000.00"
