"Table 2.3: Monthly average rainfall details of the MWS-002-1",""
"Month","Monthly Rainfall  mm"
"January","190"
"February","121"
"March","129"
"April","267"
"May","210"
"June","161"
"July","170"
"August","154"
"September","185"
"October","354"
"November","345"
"December","322"
"Annual","2608"
