Tank name,Ownership,N,E,Remarks
Kandethenna Wewa,ID,7.17226,80.71371,Recommended to improve reservation
Gurugal Oya Reservoir,ID,7.1578,80.72799,Recommended to improve reservation
Great valley Wewa,DAD,7.18418,80.6718,Recommended to improve reservation
Karagaskada North Wewa ,DAD,7.17819,80.69721,"Recommended restoring the embankment, desilting, and improving the reservation "
