"Table 2.7: Occupational details of the community of MWS-002-1 (GN-wise)","","","","","","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8","NA  9","NA  10","NA  11","NA  12"
,,"Executive/Manager","Clerk","Technical","Defence Sector","Foreign employment","Masonry","Carpenter","Animal Husbandry","Business","Apparel","Labour","Agriculture","Landholding farmer","Others"
"1034","Wetakepotha","1","1","14","1","46","3","0","28","50","5","78","40","0","23"
"1037","Medakekila","0","15","0","0","52","13","3","26","18","1","116","4","0","28"
"1039","Pattiyagama Udagama","0","4","21","9","15","3","2","46","53","10","25","78","28","0"
"1040","Gonangoda","2","13","16","9","72","16","9","52","17","12","260","75","22","45"
"1041","Karagaskada North","4","28","44","30","41","18","9","32","98","35","298","42","6","0"
"1042","Karagaskada South","0","0","10","3","77","5","3","3","76","8","224","1","0","10"
"1043","Greatweliya","0","0","3","0","13","0","0","0","0","0","0","0","0","0"
"1044","Pattiyagama Gabadagama South","1","4","2","23","15","6","3","15","5","18","150","170","0","6"
"1045","Pattiyagama Gabadagama North","2","5","2","26","23","8","3","6","6","8","28","805","2","9"
"1046","Kandegama","0","4","2","2","6","7","1","3","2","4","5","25","6","0"
"1047","Wadiyagoda","0","1","0","11","6","3","0","5","1","2","7","23","0","0"
,"Total","10","75","114","114","366","82","33","216","326","103","1191","1263","64","121"
